Zeitstempel,Szenario_A,Szenario_B,Szenario_C
00:00,0.020,0.020,0.020
01:00,0.015,0.015,0.015
02:00,0.010,0.010,0.010
03:00,0.005,0.005,0.005
04:00,0.005,0.005,0.005
05:00,0.005,0.005,0.005
06:00,0.005,0.005,0.005
07:00,0.010,0.010,0.010
08:00,0.015,0.015,0.020
09:00,0.025,0.025,0.035
10:00,0.040,0.040,0.055
11:00,0.055,0.055,0.075
12:00,0.065,0.065,0.085
13:00,0.070,0.070,0.090
14:00,0.075,0.075,0.090
15:00,0.080,0.080,0.090
16:00,0.085,0.085,0.085
17:00,0.090,0.090,0.075
18:00,0.095,0.095,0.060
19:00,0.085,0.085,0.045
20:00,0.065,0.065,0.030
21:00,0.045,0.045,0.020
22:00,0.030,0.030,0.015
23:00,0.025,0.025,0.015
